profile,role,1,10,25,40,100,200,400,800
ai_gpu,spine,0,0,0,0,0,0,58,0
edge_robo,spine,0,0,28,0,0,0,0,0
cloud,tor,0,0,0,0,0,0,76,16
edge_robo,leaf,0,0,16,0,0,0,0,0
edge_robo,leaf,0,54,7,0,0,0,0,0
cloud,tor,0,0,0,0,36,14,0,4
enterprise,edge,0,0,0,0,26,0,6,0
edge_robo,spine,0,0,0,23,0,0,0,0
ai_gpu,leaf,0,0,0,0,0,0,68,0
cloud,edge,0,0,0,0,0,0,60,26
enterprise,spine,0,0,0,0,0,0,0,6
edge_robo,spine,0,0,16,0,0,0,0,0
ai_gpu,spine,0,0,0,0,0,0,24,0
cloud,spine,0,0,0,0,0,0,0,6
cloud,leaf,0,0,0,0,0,16,0,4
ai_gpu,leaf,0,0,0,0,0,18,8,0
enterprise,spine,0,0,26,0,0,0,0,0
enterprise,leaf,0,0,0,0,16,0,0,0
edge_robo,tor,0,40,0,2,0,0,0,0
edge_robo,tor,0,50,11,0,0,0,0,0
edge_robo,edge,11,0,0,0,0,0,0,0
ai_gpu,spine,0,0,0,0,0,0,0,26
edge_robo,leaf,0,54,0,0,0,0,0,0
edge_robo,tor,0,46,2,0,0,0,0,0
ai_gpu,tor,0,0,0,0,0,0,38,30
enterprise,spine,0,0,0,0,48,0,0,0
enterprise,edge,0,0,0,0,26,0,0,0
enterprise,edge,50,2,0,0,0,0,0,0
ai_gpu,leaf,0,0,0,0,0,0,0,6
enterprise,leaf,0,0,6,4,0,0,0,0
cloud,leaf,0,0,0,0,0,22,12,0
cloud,edge,0,0,0,0,40,0,12,0
cloud,edge,0,0,0,0,48,0,14,0
edge_robo,leaf,0,0,42,0,0,0,1,0
edge_robo,spine,0,27,0,0,0,0,0,0
enterprise,edge,0,0,0,0,28,0,4,0
ai_gpu,edge,0,0,38,0,6,0,2,0
ai_gpu,tor,0,0,0,0,44,32,4,0
cloud,edge,0,0,0,0,0,8,4,0
edge_robo,leaf,0,0,5,0,0,0,0,0
enterprise,spine,0,0,0,52,0,0,0,0
edge_robo,spine,0,0,0,0,24,0,0,0
cloud,edge,0,0,0,0,0,42,6,0
enterprise,leaf,0,0,28,0,2,0,0,0
ai_gpu,leaf,0,0,0,0,0,0,34,32
cloud,spine,0,0,0,0,0,0,18,0
ai_gpu,edge,0,60,0,0,2,0,2,0
cloud,edge,0,0,0,0,0,30,18,0
enterprise,edge,0,14,4,0,0,0,0,0
cloud,edge,0,0,0,0,62,0,16,0
cloud,tor,0,0,0,0,0,0,66,12
enterprise,spine,0,0,0,0,48,0,0,0
ai_gpu,edge,0,0,0,0,16,0,6,0
edge_robo,spine,0,0,0,15,0,0,0,0
cloud,spine,0,0,0,0,72,0,0,0
edge_robo,leaf,0,17,0,0,0,0,0,0
edge_robo,tor,0,11,1,0,0,0,0,0
edge_robo,tor,0,51,3,0,0,0,0,0
enterprise,tor,0,42,6,0,4,0,0,0
edge_robo,edge,0,5,0,0,0,0,0,0
enterprise,leaf,0,0,42,8,0,0,0,0
edge_robo,tor,57,4,0,0,0,0,0,0
ai_gpu,leaf,0,0,0,0,0,16,0,8
